id,name,item_1,item_num_1,item_2,item_num_2,
1,风,1,1,2,1,
2,火,2,1,4,1,
3,水,3,1,2,1,
4,土,3,1,1,1,
5,生命,4,1,3,1,
6,沙子,3,1,6,1,
7,瓶子,8,1,4,1,
8,恢复药水,7,1,9,2,
9,树,6,1,7,2,
10,石头,6,1,4,2,
11,工具,12,1,12,2,
12,木头,11,1,13,2,
13,生命结晶,7,1,7,2,
14,精灵,15,1,7,2,
15,木质胸甲,14,1,6,2,
16,木质靴子,14,1,3,2,
17,木质大剑,14,1,5,2,
18,木质匕首,14,1,4,2,
19,木质法杖,14,1,6,2,
20,木质法球,14,1,1,2,
21,火结晶,4,1,4,2,
22,火精灵,23,1,16,2,
23,风结晶,3,1,3,2,
24,风精灵,25,1,16,2,
25,土结晶,6,1,6,2,
26,土精灵,27,1,16,2,
27,水结晶,5,1,5,2,
28,水精灵,29,1,16,2,
29,暗结晶,2,1,2,2,
30,暗精灵,31,1,16,2,
31,光结晶,1,1,1,2,
32,光精灵,33,1,16,2,
null,null,null,null,null,null,
null,null,null,null,null,null,

